City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Laguna,US,2021-10-09 16:11:15,38.421,-121.4238,59.09,77,1,1.01
116,Trincomalee,LK,2021-10-09 16:11:16,8.5711,81.2335,82.45,73,100,17.18
117,Muisne,EC,2021-10-09 16:11:16,0.6,-80.0333,78.91,79,100,8.66
118,Meulaboh,ID,2021-10-09 16:11:16,4.1363,96.1285,78.67,86,85,7.58
119,Kaitangata,NZ,2021-10-09 16:11:17,-46.2817,169.8464,41.47,95,44,4.27
120,Kahului,US,2021-10-09 16:11:17,20.8947,-156.47,74.84,89,40,13.8
121,Noyabrsk,RU,2021-10-09 16:11:17,63.1994,75.4507,30.06,78,91,25.28
122,Muzhi,RU,2021-10-09 16:11:17,65.3667,64.6667,30.97,66,3,16.17
123,Mazagao,BR,2021-10-09 16:11:18,-0.115,-51.2894,98.65,36,81,6.08
124,Port Hedland,AU,2021-10-09 16:11:18,-20.3167,118.5667,69.85,83,0,6.91
125,Trairi,BR,2021-10-09 16:09:06,-3.2778,-39.2689,86.65,60,70,15.84
126,Richards Bay,ZA,2021-10-09 16:10:23,-28.783,32.0377,68.85,82,56,18.75
127,Lompoc,US,2021-10-09 16:11:19,34.6391,-120.4579,65.57,70,1,0.0
128,Pevek,RU,2021-10-09 16:11:19,69.7008,170.3133,23.81,92,100,2.28
129,La Roda,ES,2021-10-09 16:11:19,39.2167,-2.15,77.9,37,52,6.58
130,Ayacucho,PE,2021-10-09 16:11:19,-13.1583,-74.2239,71.46,35,75,4.61
131,Hobart,AU,2021-10-09 16:08:23,-42.8794,147.3294,48.06,72,40,3.0
132,Tuatapere,NZ,2021-10-09 16:11:20,-46.1333,167.6833,41.83,91,11,4.59
133,Baghdad,IQ,2021-10-09 16:09:10,33.3406,44.4009,84.11,16,0,11.5
134,Marawi,PH,2021-10-09 16:11:20,7.9986,124.2928,64.65,91,100,0.45
135,Pangnirtung,CA,2021-10-09 16:11:20,66.1451,-65.7125,35.28,89,94,0.6
136,Padang,ID,2021-10-09 16:09:56,-0.9492,100.3543,78.58,88,39,2.42
137,Mulege,MX,2021-10-09 16:11:21,26.8833,-111.9833,88.12,41,0,4.81
138,Hofn,IS,2021-10-09 16:09:28,64.2539,-15.2082,47.75,84,100,2.82
139,Christchurch,NZ,2021-10-09 16:10:06,-43.5333,172.6333,50.02,91,70,1.99
140,Isla Vista,US,2021-10-09 16:11:21,34.4133,-119.861,66.43,68,1,3.44
141,Balingasay,PH,2021-10-09 16:11:22,16.3573,119.8564,81.52,81,87,3.74
142,Saint-Philippe,RE,2021-10-09 16:11:22,-21.3585,55.7679,72.99,83,55,14.5
143,Rantauprapat,ID,2021-10-09 16:11:22,2.1,99.8333,75.7,96,41,2.28
144,Eureka,US,2021-10-09 16:11:22,40.8021,-124.1637,53.64,93,26,3.36
145,Delijan,IR,2021-10-09 16:11:23,33.9905,50.6838,59.54,44,0,2.42
146,Sumbe,AO,2021-10-09 16:11:23,-11.2061,13.8437,76.5,73,64,9.08
147,Kabalo,CD,2021-10-09 16:11:23,-6.05,26.9167,86.9,41,71,3.4
148,Saint George,US,2021-10-09 16:11:24,37.1041,-113.5841,63.07,90,40,1.99
149,Lucapa,AO,2021-10-09 16:11:24,-8.4192,20.7447,86.09,32,21,2.95
150,Bathsheba,BB,2021-10-09 16:11:24,13.2167,-59.5167,88.41,70,40,13.8
151,Bluff,NZ,2021-10-09 16:11:24,-46.6,168.3333,41.81,91,54,9.17
152,Te Anau,NZ,2021-10-09 16:11:25,-45.4167,167.7167,39.72,91,23,0.98
153,Kruisfontein,ZA,2021-10-09 16:11:25,-34.0033,24.7314,63.88,63,8,15.41
154,Umm Lajj,SA,2021-10-09 16:11:25,25.0213,37.2685,84.94,68,24,7.92
155,Upernavik,GL,2021-10-09 16:11:26,72.7868,-56.1549,30.72,52,100,11.65
156,Grand Gaube,MU,2021-10-09 16:11:26,-20.0064,57.6608,72.37,72,13,10.0
157,Borzya,RU,2021-10-09 16:11:26,50.3833,116.5167,38.7,58,100,17.69
158,Virginia Beach,US,2021-10-09 16:09:52,36.8529,-75.978,75.42,76,100,1.99
159,Itaituba,BR,2021-10-09 16:11:26,-4.2761,-55.9836,98.91,33,90,4.63
160,Cartagena,CO,2021-10-09 16:09:12,10.3997,-75.5144,83.82,89,75,4.61
161,Iqaluit,CA,2021-10-09 16:11:27,63.7506,-68.5145,36.7,86,100,8.01
162,Harindanga,IN,2021-10-09 16:11:27,22.0383,88.3214,85.98,77,15,4.61
163,Mehamn,NO,2021-10-09 16:11:28,71.0357,27.8492,36.28,97,100,4.41
164,Namuac,PH,2021-10-09 16:11:28,18.6109,121.1657,79.5,89,80,7.47
165,Silveira,PT,2021-10-09 16:11:28,39.1112,-9.3643,78.39,80,95,7.0
166,Halifax,CA,2021-10-09 16:09:52,44.6453,-63.5724,58.21,57,2,1.99
167,Yendi,GH,2021-10-09 16:11:29,9.4427,-0.0099,89.47,61,100,4.36
168,Birin,NP,2021-10-09 16:11:29,26.8865,88.0718,61.93,89,1,3.31
169,Ambilobe,MG,2021-10-09 16:11:29,-13.2,49.05,77.18,59,78,6.73
170,Henties Bay,NA,2021-10-09 16:11:29,-22.116,14.2845,60.85,65,12,9.01
171,Krasnaya Zarya,RU,2021-10-09 16:11:30,52.7825,37.6806,43.18,57,1,3.89
172,Kirakira,SB,2021-10-09 16:11:30,-10.4544,161.9205,78.42,84,99,2.73
173,Kjollefjord,NO,2021-10-09 16:11:30,70.9457,27.3465,36.3,97,100,4.23
174,Narsaq,GL,2021-10-09 16:11:31,60.9167,-46.05,41.22,52,4,1.95
175,Bambous Virieux,MU,2021-10-09 16:08:37,-20.3428,57.7575,72.21,77,41,18.59
176,Auki,SB,2021-10-09 16:11:31,-8.7676,160.7034,76.41,88,100,2.84
177,Beboto,TD,2021-10-09 16:11:31,8.2668,16.939,84.27,73,92,3.09
178,Srednekolymsk,RU,2021-10-09 16:11:32,67.45,153.6833,9.45,96,90,4.43
179,Sisimiut,GL,2021-10-09 16:10:44,66.9395,-53.6735,32.49,70,100,8.48
180,Butaritari,KI,2021-10-09 16:11:32,3.0707,172.7902,81.52,67,79,14.58
181,Rypefjord,NO,2021-10-09 16:11:32,70.6333,23.6667,41.47,100,90,0.0
182,Esperance,AU,2021-10-09 16:11:33,-33.8667,121.9,53.51,62,95,6.93
183,Mar Del Plata,AR,2021-10-09 16:09:10,-38.0023,-57.5575,63.0,63,0,11.99
184,Sand Springs,US,2021-10-09 16:10:06,36.1398,-96.1089,82.98,52,1,9.22
185,Galle,LK,2021-10-09 16:07:25,6.0367,80.217,80.85,83,97,10.85
186,Hithadhoo,MV,2021-10-09 16:11:33,-0.6,73.0833,83.53,67,100,7.47
187,Margate,GB,2021-10-09 16:11:33,51.3813,1.3862,63.91,77,66,1.01
